Zr_3.2Å "SHAP Value" Cu
3.58698551 -0.0023293475899845363 0.0
3.03868595 0.0020057533436920495 0.0
3.17265274 0.0035874479310587046 0.0
2.69080843 0.00045790539006702603 1.0
4.95782978 -0.00587060316815041 0.0
3.02297067 0.00031037963344715536 1.0
1.72596657 0.010569457911187782 1.0
4.02290187 -0.0038329449272714554 0.0
3.9746611 -0.0059702517092227935 0.0
6.79062235 -0.00567908211320173 0.0
2.31836277 0.004169907952891663 0.0
4.06592662 -0.0059702517092227935 0.0
3.52286156 0.0035874479310587046 0.0
4.54601379 -0.0033301510778255762 1.0
2.46971209 0.003223886158084497 0.0
6.10481114 -0.005866463042329997 0.0
3.4992301 -0.00033125182031653824 1.0
3.4186733 0.0023009547393303366 0.0
3.47164109 0.001522941830335185 0.0
3.85811322 -0.003932593468343839 0.0
2.26279195 0.000479567579459399 1.0
5.0373715 -0.004331583543680608 0.0
4.15862735 -0.004227794863982126 0.0
2.29221211 0.0023009547393303366 0.0
3.49786271 0.001818143225973472 0.0
1.75608236 0.007348803024506197 1.0
3.7004659 -0.004331583543680608 0.0
3.53622128 0.002641426103655249 1.0
4.63040639 -0.004331583543680608 0.0
3.41848453 0.0007810932555003091 1.0
2.94235253 0.00291559562087059 1.0
2.87945872 0.003210797016508877 1.0
4.8128094 -0.00557126164669171 0.0
4.41284075 -0.0038355601974762975 0.0
1.40319257 0.008479915702482686 1.0
3.80911453 -0.004227794863982126 0.0
1.64942553 0.010264108278788627 1.0
4.36308423 -0.005947912561241537 1.0
2.7831494 0.001818143225973472 1.0
3.35205165 0.0035874479310587046 0.0
5.64822026 -0.005471613105619326 0.0
4.17886809 -0.003939240538165904 1.0
3.09861128 0.0023009547393303366 0.0
3.41224395 0.002594077672692947 1.0
1.94581483 0.007348803024506197 1.0
3.0106804 0.00031037963344715536 1.0
5.48800525 -0.006243113956879824 1.0
3.58485845 -0.0019303575146477668 0.0
3.42854973 0.0023009547393303366 0.0
2.31690382 0.0019177917670458555 0.0
3.0163075 0.0023009547393303366 1.0
3.99096903 -0.00481781625887379 1.0
2.43807895 0.001522941830335185 0.0
4.43660273 -0.0042319350026082244 0.0
3.08769608 0.0035874479310587046 0.0
3.51203121 0.004070259411819279 0.0
1.9817278 0.00877180164330639 1.0
5.00611076 -0.00557126164669171 0.0
4.26994751 -0.003264772970578633 0.0
2.45692222 0.0014414923114236444 1.0
0.80229305 0.012790157553972677 1.0
3.34129139 0.00031037963344715536 1.0
5.31208973 -0.004331583543680608 0.0
4.29350296 -0.004331583543680608 0.0
3.12748992 0.001818143225973472 0.0
5.06122495 -0.0042319350026082244 0.0
4.0825083 -0.003932593468343839 0.0
5.53066942 -0.0059702517092227935 0.0
3.4808301 0.0040682516572996975 0.0
2.88969543 0.002641426103655249 0.0
4.72797737 -0.00587060316815041 0.0
2.25185189 0.001818143225973472 1.0
2.37196662 0.0024826061370549725 0.0
1.30785113 0.2075884224078618 1.0
1.65071662 0.010544545775046573 1.0
2.01414707 0.01026162811089307 1.0
3.69619565 -0.002726034878869541 1.0
3.77902208 -0.007371873443480581 1.0
4.553295 -0.003932593468343839 0.0
2.08181682 0.010544545775046573 1.0
3.11035379 -1.2361467815935612e-06 1.0
3.91595566 -0.004331583543680608 0.0
4.2137098 -0.00326738822797779 1.0
1.56890759 0.007937932789791375 1.0
4.38397796 -0.004331583543680608 0.0
2.56390475 0.0014476368715986608 1.0
2.5217005 0.0017589718266390263 0.0
3.55152533 -0.002225558910286054 0.0
2.42763143 0.001818143225973472 1.0
3.84503883 -0.003810386414406821 1.0
4.40343604 -0.0036637630459154026 0.0
4.0660607 -0.003932593468343839 0.0
5.90951302 -0.00452064928424079 0.0
5.22817777 -0.00557126164669171 0.0
3.54365788 0.002641426103655249 0.0
2.88015323 0.001818143225973472 1.0
2.33252431 0.0014227247354574501 1.0
