Cu_4.2Å "SHAP Value" Cu
0.89616848 -0.001925922310911119 0.0
2.86483098 0.00034078770549967886 1.0
1.2569322 -0.001925922310911119 0.0
4.66542037 0.0003240234160330147 1.0
3.95685858 -0.00024448836455121637 1.0
2.19620099 0.0002703776897396892 1.0
0.91469045 -0.001925922310911119 0.0
3.19308953 0.0002703776897396892 1.0
1.61012749 -0.001925922310911119 0.0
2.22340867 0.0005342234531417489 0.0
3.80492389 0.00025516478694044054 1.0
1.15616495 -0.001925922310911119 0.0
2.17228549 0.0003240234160330147 1.0
1.70164092 0.0007521592162083834 0.0
3.19849649 0.0007521592162083834 0.0
6.21920738 -0.0004624241276178509 1.0
5.3735278 0.0003240234160330147 1.0
1.57046362 -0.001925922310911119 0.0
1.26448967 -0.001925922310911119 0.0
0.12613677 0.005535053063067607 0.0
0.1896456 0.00558064512675628 0.0
4.7329212 0.0003240234160330147 1.0
0.83507182 -0.001925922310911119 0.0
4.6530494 0.0002703776897396892 1.0
6.10768827 0.0002703776897396892 1.0
2.35748752 0.0005342234531417489 0.0
4.01196045 0.0002703776897396892 1.0
2.44546941 0.0007521592162083834 0.0
3.9584748 -0.0005160698539111763 1.0
2.10825477 0.0007521592162083834 0.0
3.19624921 -0.0004624241276178509 1.0
2.27861317 0.0003240234160330147 1.0
1.60049302 -0.0011322359589394182 0.0
2.07528444 0.0007521592162083834 0.0
2.38914408 -0.0004624241276178509 1.0
5.61258562 0.0003240234160330147 1.0
0.4506656 -0.001925922310911119 0.0
3.10829995 0.0003240234160330147 1.0
0.28932647 -0.001925922310911119 0.0
5.43319038 0.0002703776897396892 1.0
1.72127529 0.0004805777268484235 0.0
3.83515721 -0.0004624241276178509 1.0
2.84798025 -0.0004456598381511867 1.0
1.66316159 0.0007521592162083834 0.0
1.58229963 -0.001925922310911119 0.0
2.27573439 0.0007521592162083834 0.0
4.31036721 -0.0005160698539111763 1.0
3.61437049 -0.0004624241276178509 1.0
2.09414702 0.0007521592162083834 0.0
1.50693356 -0.001925922310911119 0.0
1.66544199 0.0005342234531417489 0.0
4.20133978 0.00020151906064711512 1.0
2.78494331 -0.0005160698539111763 1.0
3.92856474 0.0003240234160330147 1.0
2.07416892 -0.00024448836455121637 1.0
2.20068128 0.00020151906064711512 1.0
2.46540615 0.0007521592162083834 0.0
0.83638411 -0.0012808256485732272 0.0
1.05312769 -0.001925922310911119 0.0
4.59270722 0.00025516478694044054 1.0
3.1801664 0.0007521592162083834 0.0
2.03517771 0.0007521592162083834 0.0
4.89965608 0.00020151906064711512 1.0
1.68971775 0.00030590272217523307 0.0
4.1046997 0.0003240234160330147 1.0
2.22789596 0.0007521592162083834 0.0
7.43303511 0.16445256073377096 1.0
5.93371158 -0.0004624241276178509 1.0
4.51056001 0.0005342234531417489 1.0
4.72926497 0.00025516478694044054 1.0
0.20110677 0.00558064512675628 0.0
3.79260848 -0.00024448836455121637 1.0
5.2025967 -0.0004624241276178509 1.0
0.59833959 -0.0012808256485732272 0.0
4.20616415 -0.0004624241276178509 1.0
3.92267168 0.0002703776897396892 1.0
5.76186575 -0.0005160698539111763 1.0
3.6315616 0.00020151906064711512 1.0
1.39328342 -0.001925922310911119 0.0
1.81688671 0.0007521592162083834 0.0
3.78608465 0.0002703776897396892 1.0
1.43541746 -0.00044154723291285337 1.0
2.98837305 0.0003240234160330147 1.0
2.20898567 -0.0005160698539111763 1.0
3.66137793 0.0003240234160330147 1.0
1.33895111 -0.0005901369225466624 0.0
3.63821522 -0.0004624241276178509 1.0
4.23555991 0.0007521592162083834 0.0
2.81789548 0.0003240234160330147 1.0
2.3180046 0.0005342234531417489 0.0
4.50154819 -0.0005160698539111763 1.0
3.85374276 0.0003240234160330147 1.0
2.9705081 -0.0004624241276178509 1.0
0.47929727 -0.001925922310911119 0.0
1.58374652 -0.001925922310911119 0.0
1.19014935 -0.0011307618976570666 1.0
3.23574755 -0.00024448836455121637 1.0
4.27188851 0.0005509877426084131 1.0
2.78667614 0.00025516478694044054 1.0
0.47797081 -0.0012808256485732272 0.0
1.01710048 -0.001925922310911119 0.0
2.80318472 0.0007521592162083834 0.0
4.76696432 0.0002703776897396892 1.0
1.72638568 0.0007521592162083834 0.0
3.74678238 -0.00024448836455121637 1.0
2.10462068 0.0007521592162083834 0.0
1.74443567 0.0005342234531417489 0.0
2.72035056 0.0003240234160330147 1.0
0.89896205 -0.001925922310911119 0.0
2.78620226 -0.0004624241276178509 1.0
4.38087785 0.0002703776897396892 1.0
3.97532706 0.0007521592162083834 0.0
3.63373929 0.0007521592162083834 0.0
1.82362711 0.00020151906064711512 1.0
0.87435266 -0.001925922310911119 0.0
1.63452602 0.0005238384852418676 0.0
3.20181027 0.0002703776897396892 1.0
0.60701805 -0.001235233584884554 0.0
1.5121766 -0.001925922310911119 0.0
2.8671916 0.0007521592162083834 0.0
0.63671778 -0.001925922310911119 0.0
0.67933211 -0.001925922310911119 0.0
2.50770702 0.00030590272217523307 0.0
3.66171218 0.0002703776897396892 1.0
3.37540988 -0.0004624241276178509 1.0
1.27332495 -0.001235233584884554 0.0
1.09908295 -0.001235233584884554 0.0
0.47567334 -0.001925922310911119 0.0
1.71857425 0.0005342234531417489 1.0
2.40735468 0.0007521592162083834 0.0
2.84474268 0.0005238384852418676 0.0
2.74520812 0.0007521592162083834 0.0
1.7041884 -0.0004624241276178509 0.0
4.65690046 -0.0005160698539111763 1.0
1.74910184 0.0007521592162083834 0.0
3.35193499 0.0003240234160330147 0.0
2.47128117 0.00025516478694044054 1.0
3.23332488 -0.00024448836455121637 1.0
2.40968242 0.0005509877426084131 0.0
1.28853043 -0.001235233584884554 0.0
0.22415331 -0.001235233584884554 0.0
1.94262553 0.0005238384852418676 0.0
1.07338738 -0.001925922310911119 0.0
0.84644155 -0.001925922310911119 0.0
3.3584156 -0.0004624241276178509 1.0
0.9979903 -0.001925922310911119 0.0
4.4911917 0.0002703776897396892 1.0
3.76373684 -0.0005160698539111763 1.0
3.69505286 0.0002703776897396892 1.0
0.11112928 0.004889956400729716 0.0
2.55831995 0.0007521592162083834 0.0
3.30106472 -0.0004624241276178509 1.0
3.63716045 -0.0005160698539111763 1.0
4.9944454 0.0003240234160330147 1.0
0.22158349 -0.001235233584884554 0.0
1.32600245 -0.001925922310911119 0.0
2.34360919 0.0007521592162083834 0.0
1.62933442 0.0005342234531417489 0.0
2.72419935 0.00020151906064711512 1.0
1.66722248 0.0007521592162083834 0.0
4.51695815 0.0003240234160330147 1.0
2.33146069 0.00030590272217523307 0.0
1.46491302 -0.00044154723291285337 1.0
2.07544114 0.0007521592162083834 0.0
1.56699824 -0.001925922310911119 0.0
0.84737922 -0.001925922310911119 0.0
1.65473602 -0.0005160698539111763 1.0
2.10099662 0.0007521592162083834 0.0
3.40239707 -0.0004456598381511867 1.0
1.23352064 -0.001925922310911119 0.0
0.7150774 -0.00036181619041599335 0.0
0.95464537 -0.001925922310911119 0.0
0.9615072 -0.001925922310911119 0.0
1.18340307 -0.001925922310911119 0.0
0.35778551 -0.000344314354006201 1.0
0.44206928 -0.0012808256485732272 0.0
1.08413214 -0.0011307618976570666 1.0
1.19095325 -0.001925922310911119 0.0
1.2119929 -0.001925922310911119 0.0
2.2990104 -0.0004624241276178509 1.0
2.86562487 0.0007521592162083834 0.0
5.99612551 -0.00024448836455121637 1.0
3.58451543 0.0007521592162083834 0.0
1.7164047 0.0003240234160330147 1.0
2.37168275 0.00020151906064711512 1.0
0.47546173 -0.001235233584884554 0.0
0.34114914 -0.001925922310911119 0.0
1.43342399 -0.001925922310911119 0.0
3.37121457 -0.00024448836455121637 1.0
1.95510086 0.0005342234531417489 0.0
4.44546837 -0.0004624241276178509 1.0
3.66023772 -0.0004624241276178509 1.0
2.11918673 0.0007521592162083834 0.0
1.33595392 -0.001925922310911119 0.0
3.28188521 0.0003240234160330147 1.0
2.31113558 -0.0004624241276178509 1.0
3.06469398 0.0005342234531417489 1.0
4.68158376 0.0007521592162083834 0.0
4.48181663 -0.0004624241276178509 1.0
1.70988309 0.0007521592162083834 0.0
4.27123386 -0.0005160698539111763 1.0
1.5139778 -0.001925922310911119 0.0
2.10621606 0.0007521592162083834 0.0
2.82283955 0.0003240234160330147 1.0
1.52421758 -0.001235233584884554 0.0
1.5209374 -0.0005901369225466624 0.0
3.88958907 -0.00024448836455121637 1.0
2.67997922 0.0007521592162083834 0.0
2.14417182 -0.00024448836455121637 1.0
1.57188568 -0.0012984047923237086 1.0
1.5346965 -0.00036181619041599335 0.0
3.50192779 0.0002703776897396892 1.0
1.19448553 -0.001925922310911119 0.0
4.07122471 0.0002703776897396892 1.0
2.42391049 0.0003240234160330147 1.0
1.12967342 -0.001925922310911119 0.0
2.69709427 -0.00024448836455121637 1.0
2.71199917 0.0007521592162083834 0.0
2.61506809 0.0005419591790996492 0.0
4.77090873 -0.0004624241276178509 1.0
1.10367502 -0.001925922310911119 0.0
3.34797662 0.0005238384852418676 0.0
2.62084547 0.00020151906064711512 1.0
3.17554448 -0.0004624241276178509 1.0
1.94590258 0.0002703776897396892 1.0
